doi,paper_id,doi_source,doi_conflict,first_page_doi,prior_doi,title_best,prior_title,filename_title_guess,journal_best,year_best,authors_best,source_set,prior_publisher_group,prior_access_classification,prior_document_type,file_name,relative_path,page_count,file_size_mb,metadata_prior_match_score
10.1007/s11144-010-0197-8,8bde252e2902b4c2,first_page_doi,FALSE,10.1007/s11144-010-0197-8,10.1007/s11144-010-0197-8,Influence of acidity on the H-Y zeolite performance in n-decane catalytic cracking: evidence of a series/parallel mechanism,Influence of acidity on the H-Y zeolite performance in n-decane catalytic cracking: evidence of a series/parallel mechanism,Influence of acidity on the H Y zeolite performance in n decane catalytic cracking evidence of a series parall,REACTION KINETICS MECHANISMS AND CATALYSIS,2010,"Fonseca, N.; Lemos, F.; Laforge, S.; Magnoux, P.; Ribeiro, F. Ramoa",non_OA,Springer_Nature,PERMISSION_REQUIRED,Article,Fonseca_2010_Influence_of_acidity_on_the_H_Y_zeolite_performance_in_n_decane_catalytic_cracking_evidence_of_a_series_parall_1e98976370.pdf,non_OA/non-OA/Fonseca_2010_Influence_of_acidity_on_the_H_Y_zeolite_performance_in_n_decane_catalytic_cracking_evidence_of_a_series_parall_1e98976370.pdf,15,0.243,0.949
10.1021/jp1073076,0ae87b30f11b9d10,first_page_doi,FALSE,10.1021/jp1073076,10.1021/jp1073076,Kinetically Relevant Steps and H2/D2 Isotope Effects in Fischer-Tropsch Synthesis on Fe and Co Catalysts,Kinetically Relevant Steps and H2/D2 Isotope Effects in Fischer-Tropsch Synthesis on Fe and Co Catalysts,Kinetically Relevant Steps and H2 D2 Isotope Effects in Fischer Tropsch Synthesis on Fe and Co Catalysts,JOURNAL OF PHYSICAL CHEMISTRY C,2010,"Ojeda, Manuel; Li, Anwu; Nabar, Rahul; Nilekar, Anand U.; Mavrikakis, Manos; Iglesia, Enrique",non_OA,ACS,PERMISSION_REQUIRED,Article,Ojeda_2010_Kinetically_Relevant_Steps_and_H2_D2_Isotope_Effects_in_Fischer_Tropsch_Synthesis_on_Fe_and_Co_Catalysts_e63280ea7b.pdf,non_OA/non-OA/Ojeda_2010_Kinetically_Relevant_Steps_and_H2_D2_Isotope_Effects_in_Fischer_Tropsch_Synthesis_on_Fe_and_Co_Catalysts_e63280ea7b.pdf,10,0.302,1
10.1021/ie1011933,2763dfdd315644b5,first_page_doi,FALSE,10.1021/ie1011933,10.1021/ie1011933,Making Sense of the Fischer-Tropsch Synthesis Reaction: Start-Up,Making Sense of the Fischer-Tropsch Synthesis Reaction: Start-Up,Making Sense of the Fischer Tropsch Synthesis Reaction Start Up,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2010,"Lu, Xiaojun; Hildebrandt, Diane; Liu, Xinying; Glasser, David",non_OA,ACS,PERMISSION_REQUIRED,Article,Lu_2010_Making_Sense_of_the_Fischer_Tropsch_Synthesis_Reaction_Start_Up_5d25815fc9.pdf,non_OA/non-OA/Lu_2010_Making_Sense_of_the_Fischer_Tropsch_Synthesis_Reaction_Start_Up_5d25815fc9.pdf,6,1.506,1
10.1007/s10562-010-0381-5,9509b1acc6a6787e,first_page_doi,FALSE,10.1007/s10562-010-0381-5,10.1007/s10562-010-0381-5,One-Step Preparation of Bimodal Fe-Mn-K/SiO2 Catalyst and its Catalytic Performance of Slurry Phase Fischer-Tropsch Synthesis,One-Step Preparation of Bimodal Fe-Mn-K/SiO2 Catalyst and its Catalytic Performance of Slurry Phase Fischer-Tropsch Synthesis,One Step Preparation of Bimodal Fe Mn K SiO2 Catalyst and its Catalytic Performance of Slurry Phase Fischer Tr,CATALYSIS LETTERS,2010,"Zhang, Xuejun; Liu, Yong; Liu, Guiqing; Tao, Kai; Meng, Fanzhi; Jin, Quan; Kawabata, Tokimasa; Matsuda, Kenji; Ikeno, Susumu; Fan, Ronggang; Kurokawa, Yuji; Tsubaki, Noritatsu",non_OA,Springer_Nature,PERMISSION_REQUIRED,Article,Zhang_2010_One_Step_Preparation_of_Bimodal_Fe_Mn_K_SiO2_Catalyst_and_its_Catalytic_Performance_of_Slurry_Phase_Fischer_Tr_a84aab0b2b.pdf,non_OA/non-OA/Zhang_2010_One_Step_Preparation_of_Bimodal_Fe_Mn_K_SiO2_Catalyst_and_its_Catalytic_Performance_of_Slurry_Phase_Fischer_Tr_a84aab0b2b.pdf,10,0.522,0.936
10.1007/s11172-010-0320-z,bc6a0c2ef46ac9bb,xlsx_prior_doi,FALSE,,10.1007/s11172-010-0320-z,Potassium as a promoter in the Co-based Fischer-Tropsch catalysis,Potassium as a promoter in the Co-based Fischer-Tropsch catalysis,Potassium as a promoter in the Co based Fischer Tropsch catalysis,RUSSIAN CHEMICAL BULLETIN,2010,"Lapidus, A. L.; Eliseev, O. L.; Tsapkina, M. V.; Belousova, O. S.; Gushchin, V. V.",non_OA,Springer_Nature,PERMISSION_REQUIRED,Article,Lapidus_2010_Potassium_as_a_promoter_in_the_Co_based_Fischer_Tropsch_catalysis_b483ae99c5.pdf,non_OA/non-OA/Lapidus_2010_Potassium_as_a_promoter_in_the_Co_based_Fischer_Tropsch_catalysis_b483ae99c5.pdf,2,0.128,1
10.1021/ie100106u,4bf547f3fe9ac525,first_page_doi,FALSE,10.1021/ie100106u,10.1021/ie100106u,Reactive Distillation for Fischer-Tropsch Synthesis: Feasible Solution Space,Reactive Distillation for Fischer-Tropsch Synthesis: Feasible Solution Space,Reactive Distillation for Fischer Tropsch Synthesis Feasible Solution Space,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2010,"Srinivas, Seethamraju; Mahajani, Sanjay M.; Malik, Ranjan K.",non_OA,ACS,PERMISSION_REQUIRED,Article,Srinivas_2010_Reactive_Distillation_for_Fischer_Tropsch_Synthesis_Feasible_Solution_Space_16e2e45e5f.pdf,non_OA/non-OA/Srinivas_2010_Reactive_Distillation_for_Fischer_Tropsch_Synthesis_Feasible_Solution_Space_16e2e45e5f.pdf,12,4.686,1
10.1021/ie100518u,961eb3cfa667ba18,first_page_doi,FALSE,10.1021/ie100518u,10.1021/ie100518u,Scale-Up of Microchannel Reactors For Fischer-Tropsch Synthesis,Scale-Up of Microchannel Reactors For Fischer-Tropsch Synthesis,Scale Up of Microchannel Reactors For Fischer Tropsch Synthesis,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2010,"Deshmukh, Soumitra R.; Tonkovich, Anna Lee Y.; Jarosch, Kai T.; Schrader, Luke; Fitzgerald, Sean P.; Kilanowski, David R.; Lerou, Jan J.; Mazanec, Terry J.",non_OA,ACS,PERMISSION_REQUIRED,Article; Proceedings Paper,Deshmukh_2010_Scale_Up_of_Microchannel_Reactors_For_Fischer_Tropsch_Synthesis_03fd77544f.pdf,non_OA/non-OA/Deshmukh_2010_Scale_Up_of_Microchannel_Reactors_For_Fischer_Tropsch_Synthesis_03fd77544f.pdf,6,2.268,1
10.1007/s11244-010-9450-7,a6b036697e984544,first_page_doi,FALSE,10.1007/s11244-010-9450-7,10.1007/s11244-010-9450-7,Some Understanding of Fischer-Tropsch Synthesis from Density Functional Theory Calculations,Some Understanding of Fischer-Tropsch Synthesis from Density Functional Theory Calculations,Some Understanding of Fischer Tropsch Synthesis from Density Functional Theory Calculations,TOPICS IN CATALYSIS,2010,"Cheng, Jun; Hu, P.; Ellis, Peter; French, Sam; Kelly, Gordon; Lok, C. Martin",non_OA,Springer_Nature,PERMISSION_REQUIRED,Article; Proceedings Paper,Cheng_2010_Some_Understanding_of_Fischer_Tropsch_Synthesis_from_Density_Functional_Theory_Calculations_f29da5f93e.pdf,non_OA/non-OA/Cheng_2010_Some_Understanding_of_Fischer_Tropsch_Synthesis_from_Density_Functional_Theory_Calculations_f29da5f93e.pdf,12,0.576,1
10.1021/ja105853q,22d54073a3fd6c46,first_page_doi,FALSE,10.1021/ja105853q,10.1021/ja105853q,Stability and Reactivity of ε-χ-θ Iron Carbide Catalyst Phases in Fischer-Tropsch Synthesis: Controlling μc,Stability and Reactivity of ε-χ-θ Iron Carbide Catalyst Phases in Fischer-Tropsch Synthesis: Controlling μc,Stability and Reactivity of Iron Carbide Catalyst Phases in Fischer Tropsch Synthesis Controlling c,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,2010,"de Smit, Emiel; Cinquini, Fabrizio; Beale, Andrew M.; Safonova, Olga V.; van Beek, Wouter; Sautet, Philippe; Weckhuysen, Bert M.",non_OA,ACS,PERMISSION_REQUIRED,Article,de_Smit_2010_Stability_and_Reactivity_of_Iron_Carbide_Catalyst_Phases_in_Fischer_Tropsch_Synthesis_Controlling_c_44483a59a6.pdf,non_OA/non-OA/de_Smit_2010_Stability_and_Reactivity_of_Iron_Carbide_Catalyst_Phases_in_Fischer_Tropsch_Synthesis_Controlling_c_44483a59a6.pdf,14,3.655,1
10.1007/s10562-009-0213-7,b6a91051bf9df7fb,first_page_doi,FALSE,10.1007/s10562-009-0213-7,10.1007/s10562-009-0213-7,Studies on KIT-6 Supported Cobalt Catalyst for Fischer-Tropsch Synthesis,Studies on KIT-6 Supported Cobalt Catalyst for Fischer-Tropsch Synthesis,Studies on KIT 6 Supported Cobalt Catalyst for Fischer Tropsch Synthesis,CATALYSIS LETTERS,2010,"Gnanamani, Muthu Kumaran; Jacobs, Gary; Graham, Uschi M.; Ma, Wenping; Pendyala, Venkat Ramana Rao; Ribeiro, Mauro; Davis, Burtron H.",non_OA,Springer_Nature,PERMISSION_REQUIRED,Article,Gnanamani_2010_Studies_on_KIT_6_Supported_Cobalt_Catalyst_for_Fischer_Tropsch_Synthesis_0ea57422eb.pdf,non_OA/non-OA/Gnanamani_2010_Studies_on_KIT_6_Supported_Cobalt_Catalyst_for_Fischer_Tropsch_Synthesis_0ea57422eb.pdf,8,0.476,1
